iter	RMSE
0	0.2836022669
1	0.2719438989
2	0.2619718816
3	0.2530690476
4	0.245327041
5	0.238762359
6	0.2332169389
7	0.2283376243
8	0.2242353168
9	0.2204615993
10	0.2171815574
11	0.214712916
12	0.2120686871
13	0.209911599
14	0.2080130127
15	0.2065873979
16	0.2052471789
17	0.204005048
18	0.2027654039
19	0.201706763
20	0.2008542212
21	0.1998786121
22	0.1988510223
23	0.1980197654
24	0.1971355279
25	0.1964950502
26	0.1957892661
27	0.1951608911
28	0.194668081
29	0.1940622418
30	0.1933847155
31	0.1929067163
32	0.1924675446
33	0.1921338213
34	0.1915173755
35	0.1912113009
36	0.1908556068
37	0.1904613292
38	0.1901040591
39	0.1897125613
40	0.1892477425
41	0.1888979138
42	0.1885459971
43	0.1882497732
44	0.1879377785
45	0.1875394855
46	0.1873061757
47	0.1868114592
48	0.1865641631
49	0.1862701665
50	0.1859570499
51	0.1857153
52	0.1854753453
53	0.1852722176
54	0.1849169196
55	0.1846631404
56	0.1842816696
57	0.1841237275
58	0.1838121998
59	0.1834757185
60	0.1832888726
61	0.1830507399
62	0.1828863978
63	0.1826095193
64	0.1824330375
65	0.1822488901
66	0.1821035961
67	0.1818399908
68	0.1816033693
69	0.1813485882
70	0.181141099
71	0.1809350015
72	0.1808068974
73	0.1805995084
74	0.1803572706
75	0.1801792689
76	0.1800563954
77	0.179925978
78	0.1797446479
79	0.1795689271
80	0.1794482981
81	0.1792275686
82	0.1790781441
83	0.1788575477
84	0.1786715991
85	0.1784863264
86	0.1782075692
87	0.1781118252
88	0.1778967871
89	0.1777058996
90	0.1774538897
91	0.1772402673
92	0.1770902476
93	0.1769064817
94	0.1766804753
95	0.1763995897
96	0.176164371
97	0.1760123322
98	0.175844298
99	0.1756466997
100	0.1754428185
101	0.1752378008
102	0.1750662455
103	0.1749115863
104	0.174718556
105	0.1746160909
106	0.1744670769
107	0.174327418
108	0.1740932011
109	0.1739440529
110	0.1737290175
111	0.173481951
112	0.1733395367
113	0.1732163938
114	0.1730140176
115	0.1728993738
116	0.1726734513
117	0.1725383512
118	0.1724168671
119	0.172184178
120	0.1719945744
121	0.1719158626
122	0.1717297221
123	0.171632593
124	0.1715381806
125	0.1713081881
126	0.1711687994
127	0.1710858295
128	0.1708802643
129	0.170755104
130	0.1705886131
131	0.170382925
132	0.1701073
133	0.1699102004
134	0.1698053375
135	0.1696520373
136	0.1695221075
137	0.1693327699
138	0.1692006786
139	0.1690050378
140	0.168846417
141	0.1686812146
142	0.1685410465
143	0.1684359019
144	0.1683899857
145	0.1681784921
146	0.1680769783
147	0.1679831528
148	0.1678360464
149	0.167656171
150	0.1674650508
151	0.1673042334
152	0.1671935863
153	0.1669951742
154	0.1668331531
155	0.1667479131
156	0.1666334748
157	0.1664866558
158	0.1663560183
159	0.1661888827
160	0.1660049661
161	0.1658767803
162	0.1658384826
163	0.1657117375
164	0.1655588269
165	0.1654329543
166	0.1653327541
167	0.1652501547
168	0.1651341473
169	0.1649881882
170	0.1648483676
171	0.1647162169
172	0.1646171068
173	0.1645567331
174	0.1643832311
175	0.1642707247
176	0.1640733378
177	0.1638617302
178	0.1637703106
179	0.1636294413
180	0.163577777
181	0.1633887662
182	0.1633166348
183	0.1631979262
184	0.1631170735
185	0.1629465465
186	0.1628623329
187	0.1627198405
188	0.162560426
189	0.1624944463
190	0.1623571555
191	0.1621948397
192	0.1620751609
193	0.1620037984
194	0.1619088778
195	0.1617860913
196	0.1616503168
197	0.1615006502
198	0.1613856894
199	0.1612751586
200	0.1611572461
201	0.1610513466
202	0.1609160648
203	0.1608122935
204	0.1607447701
205	0.1606191611
206	0.1604902618
207	0.1603318568
208	0.1601979679
209	0.160049821
210	0.1598921845
211	0.1597750025
212	0.1596240308
213	0.159557985
214	0.1594434628
215	0.1593343562
216	0.1592637838
217	0.1591912572
218	0.1590862309
219	0.1589340239
220	0.1588086316
221	0.1587344651
222	0.1586476325
223	0.1585480335
224	0.15852838
225	0.1583985372
226	0.1583072355
227	0.1582111007
228	0.1580226537
229	0.1579445765
230	0.1578689466
231	0.1577486277
232	0.1575546055
233	0.1574908596
234	0.1573726854
235	0.1572513911
236	0.1571570497
237	0.157035239
238	0.1569708344
239	0.1569049015
240	0.1567906582
241	0.1566852068
242	0.1566384283
243	0.156504195
244	0.1564397952
245	0.1563874342
246	0.1562545787
247	0.1561494374
248	0.1560425401
249	0.1559920958
250	0.1559082598
251	0.1557514513
252	0.1556286953
253	0.1555475736
254	0.1554479486
255	0.1553880326
256	0.1552873361
257	0.1552172035
258	0.1551673193
259	0.1550580205
260	0.1550126202
261	0.1549137647
262	0.1548038666
263	0.1547298476
264	0.1546327164
265	0.1545515874
266	0.1543773529
267	0.1542144989
268	0.1541397861
269	0.1540203837
270	0.1539274786
271	0.1538330419
272	0.1537793039
273	0.1537363954
274	0.1535473045
275	0.15340298
276	0.1533666258
277	0.153274213
278	0.1531911329
279	0.153085328
280	0.1530277699
281	0.1529373154
282	0.152852656
283	0.1527706673
284	0.1527090412
285	0.1526240438
286	0.1524732834
287	0.1524301005
288	0.1523626243
289	0.1522728566
290	0.1521647749
291	0.1521036616
292	0.1520093472
293	0.1519136855
294	0.1518513123
295	0.1517471396
296	0.1516513439
297	0.1515956279
298	0.1515342119
299	0.1514583599
