iter	Passed	Remaining
0	1	490
1	3	493
2	4	486
3	6	457
4	7	453
5	9	452
6	10	458
7	12	451
8	13	445
9	15	440
10	16	437
11	17	431
12	19	425
13	20	419
14	22	418
15	23	419
16	24	415
17	26	411
18	27	407
19	28	405
20	30	403
21	31	402
22	33	401
23	35	403
24	36	402
25	37	400
26	39	398
27	40	397
28	42	396
29	43	394
30	45	392
31	46	390
32	48	390
33	49	387
34	50	384
35	52	382
36	53	381
37	55	380
38	56	377
39	57	376
40	59	375
41	61	374
42	62	374
43	64	372
44	65	372
45	67	370
46	68	368
47	69	366
48	71	364
49	72	363
50	74	361
51	75	359
52	76	356
53	78	355
54	79	355
55	80	352
56	82	350
57	83	349
58	85	348
59	86	346
60	87	344
61	89	342
62	90	341
63	92	341
64	93	339
65	95	337
66	96	336
67	98	334
68	99	332
69	100	330
70	102	329
71	103	328
72	104	326
73	106	324
74	107	323
75	109	321
76	110	320
77	111	318
78	113	316
79	114	315
80	116	314
81	117	312
82	118	311
83	120	309
84	122	311
85	124	310
86	126	309
87	127	308
88	129	307
89	130	305
90	132	303
91	133	302
92	135	301
93	136	299
94	138	297
95	139	296
96	140	294
97	142	293
98	143	291
99	144	289
100	146	288
101	147	286
102	148	284
103	150	283
104	152	282
105	153	281
106	155	279
107	156	277
108	157	276
109	159	274
110	160	273
111	162	272
112	163	270
113	165	270
114	166	268
115	168	266
116	169	264
117	170	263
118	172	262
119	173	260
120	175	259
121	176	258
122	178	256
123	180	255
124	181	254
125	183	252
126	184	251
127	185	249
128	187	247
129	188	246
130	190	245
131	191	243
132	192	242
133	194	240
134	195	239
135	196	237
136	198	235
137	199	234
138	201	232
139	202	231
140	204	230
141	205	228
142	206	227
143	208	225
144	209	224
145	211	222
146	212	221
147	214	219
148	215	218
149	216	216
150	218	215
151	220	214
152	221	212
153	222	211
154	224	209
155	225	208
156	226	206
157	228	205
158	229	203
159	231	202
160	232	200
161	233	199
162	235	197
163	236	196
164	238	194
165	239	193
166	241	192
167	242	190
168	244	189
169	245	188
170	247	186
171	249	185
172	251	184
173	252	182
174	253	181
175	255	180
176	257	178
177	258	177
178	259	175
179	261	174
180	262	172
181	264	171
182	265	169
183	266	168
184	268	166
185	270	165
186	271	164
187	272	162
188	274	161
189	276	159
190	277	158
191	278	156
192	279	155
193	281	153
194	282	152
195	284	150
196	285	149
197	286	147
198	288	146
199	289	144
200	291	143
201	292	141
202	294	140
203	295	139
204	296	137
205	298	136
206	300	135
207	301	133
208	303	131
209	304	130
210	306	129
211	307	127
212	308	126
213	309	124
214	311	123
215	313	121
216	314	120
217	315	118
218	317	117
219	318	115
220	319	114
221	321	112
222	322	111
223	324	109
224	325	108
225	327	107
226	329	105
227	330	104
228	332	103
229	333	101
230	334	99
231	336	98
232	338	97
233	339	95
234	340	94
235	341	92
236	343	91
237	344	89
238	346	88
239	347	86
240	348	85
241	350	83
242	351	82
243	352	80
244	354	79
245	356	78
246	357	76
247	359	75
248	360	73
249	362	72
250	364	71
251	365	69
252	367	68
253	368	66
254	370	65
255	373	64
256	376	63
257	378	61
258	380	60
259	381	58
260	383	57
261	385	55
262	387	54
263	388	53
264	390	51
265	392	50
266	393	48
267	395	47
268	396	45
269	398	44
270	399	42
271	401	41
272	402	39
273	404	38
274	405	36
275	407	35
276	408	33
277	410	32
278	411	30
279	413	29
280	414	28
281	416	26
282	418	25
283	419	23
284	421	22
285	422	20
286	424	19
287	425	17
288	427	16
289	428	14
290	430	13
291	431	11
292	433	10
293	434	8
294	436	7
295	437	5
296	439	4
297	440	2
298	442	1
299	443	0
