Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory
Pomerol,France,Pomerol,Château La Providence,4.2,100,95.0,2011,red
Lirac,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,red
Erta e China Rosso di Toscana,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,red
Bardolino,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,red
Ried Scheibner Pinot Noir,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,red
Gigondas (Nobles Terrasses),France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,red
Marion's Vineyard Pinot Noir,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,red
Red Blend,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014,red
Chianti,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,red
Tradition,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,red
Chianti Riserva,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,red
Descendant,Australia,Barossa,Torbreck,4.3,100,140.64,2016,red
Les Obriers de la Peira Terrasses du Larzac,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017,red
Zenas Primitivo,Italy,Puglia,La Bollina,3.6,100,9.26,2018,red
Cuvée Confidence Côtes du Rhône Rouge,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017,red
Shiraz,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018,red
Proprietor's Blend,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016,red
La Bienquerida,Spain,Bierzo,Losada,4.3,100,41.58,2016,red
Cabernet Sauvignon,United States,California,Hacienda,3.8,100,7.95,2015,red
Fulgeo Negroamaro Salento,Italy,Salento,San Donaci,4.0,100,12.9,2016,red
Contraste Tinto,Portugal,Douro,Conceito,3.4,100,9.9,2015,red
Steiner,Hungary,Sopron,Weninger,3.7,100,24.5,2013,red
Old Vines Primitivo,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,red
Virtus Tannat,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,red
Kallista,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,red
Badia a Passignano Gran Selezione Chianti Classico,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,red
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012,red
Carlo V Il Rosso dell'Imperatore,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013,red
Pinot Noir,United States,Monterey,District 7,3.6,1001,15.98,2016,red
Marquis de Calon Saint-Estèphe,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015,red
Hécula Monastrell,Spain,Yecla,Castaño,3.3,1004,8.83,2017,red
Berola,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015,red
Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010,red
Pinot Noir Bourgogne,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,red
Vigna del Noce Barbera d'Asti,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007,red
I Tratturi Rosso,Italy,Salento,San Marzano,3.8,101,7.04,2017,red
Château Pilet Bordeaux,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017,red
Sancerre Rouge,France,Sancerre,Comte Lafond,4.2,101,37.34,2015,red
Shiraz,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016,red
Ro-Rée Saint-Joseph,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018,red
Cabernet Sauvignon,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015,red
Cuvée Alienor Fronsac,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015,red
Sabbie di Sopra al Bosco,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014,red
Roma Rosso,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018,red
Garnacha de Arrayán,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014,red
Cabernet Sauvignon,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018,red
Terrenus Vinhas Velhas Reserva,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013,red
Fronsac,France,Fronsac,Château Villars,3.8,101,25.95,2005,red
Cuvée Charles de Batz Madiran,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014,red
Stony Terrace Cabernet Sauvignon,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016,red
12 e Mezzo Puglia Primitivo Organic Wine,Italy,Puglia,Varvaglione,3.9,101,9.4,2016,red
El Abuelo Selección Edición Limitada,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013,red
Sangre de Toro Special Selection,Spain,Catalunya,Torres,3.6,101,8.9,2017,red
Château Paul Mas Coteaux du Languedoc Clos des Mures,France,Languedoc,Paul Mas,3.8,101,11.05,2018,red
Merlot,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018,red
Roscaleto Barbera d'Alba,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015,red
Barolo Cannubi,Italy,Barolo,Giacomo Fenocchio,4.0,101,39.9,2014,red
Pauillac (Premier Grand Cru Classé),France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017,red
Cabernet Sauvignon,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014,red
Côte-Rôtie Le Gallet Blanc,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017,red
Capatosta,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015,red
Constance Madiran,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015,red
Oak Cask Malbec,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019,red
Amancaya Malbec - Cabernet Sauvignon,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.8,2017,red
Laccento Ruché di Castagnole Monferrato,Italy,Ruchè,Montalbera,4.0,1012,19.9,2017,red
San Leonardo,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011,red
Fausto Tannat,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015,red
Pauillac (Grand Cru Classé),France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007,red
Disciples,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016,red
Zinfandel,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015,red
Margaux,France,Margaux,Château Labégorce,4.0,1016,40.95,2010,red
La Luna e i Falò Barbera d'Asti Superiore,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015,red
Ribera del Duero,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015,red
Les Jardins Rouge,France,Faugères,Saint Antonin,3.8,102,7.95,2018,red
Nero d'Avola - Syrah,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,red
La Bienquerida,Spain,Bierzo,Losada,4.1,102,35.97,2013,red
Bonera,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,red
Noi 4 Bolgheri,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,red
Pinot Noir,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,red
Gran Selección Tempranillo,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,red
Syrah,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,red
Zweigelt,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,red
Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,red
Listán Negro,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,red
Viile Metamorfosis Merlot,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,red
Merlot - Cabernet Sauvignon - Petit Verdot,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,red
RWT Shiraz,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,red
Fronton,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,red
Costers Del Gravet Montsant,Spain,Montsant,Capçanes,3.7,102,13.95,2013,red
Merlot,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,red
Pinot Noir,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,red
Coume de l'Olla Rouge,France,Vin de France,Matassa,4.1,102,16.96,2019,red
Schwarzer,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,red
Haut-Médoc,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,red
