Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineCategory,Grapes
Pomerol,France,Pomerol,Ch%C3%A2teau+La+Providence,4.2,100,95.0,2011,red,assente
Lirac,France,Lirac,Ch%C3%A2teau+Mont-Redon,4.3,100,15.5,2017,red,assente
Erta+e+China+Rosso+di+Toscana,Italy,Toscana,Renzo+Masi,3.9,100,7.45,2015,red,assente
Bardolino,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,red,assente
Ried+Scheibner+Pinot+Noir,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,red,Pinot+Noir
Gigondas+%28Nobles+Terrasses%29,France,Gigondas,Vieux+Clocher,3.7,100,19.9,2017,red,assente
Marion%27s+Vineyard+Pinot+Noir,New+Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,red,Pinot+Noir
Red+Blend,Chile,Itata+Valley,Vi%C3%B1a+La+Causa,3.9,100,17.52,2014,red,assente
Chianti,Italy,Chianti,Castello+Monta%C3%B9to,3.6,100,10.75,2015,red,assente
Tradition,France,Minervois,Domaine+des+Aires+Hautes,3.5,100,6.9,2014,red,assente
Chianti+Riserva,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,red,assente
Descendant,Australia,Barossa,Torbreck,4.3,100,140.64,2016,red,assente
Les+Obriers+de+la+Peira+Terrasses+du+Larzac,France,Terrasses+du+Larzac,La+P%C3%A8ira+en+Damais%C3%A8la,4.1,100,14.52,2017,red,assente
Zenas+Primitivo,Italy,Puglia,La+Bollina,3.6,100,9.26,2018,red,Primitivo
Cuv%C3%A9e+Confidence+C%C3%B4tes+du+Rh%C3%B4ne+Rouge,France,C%C3%B4tes-du-Rh%C3%B4ne,Domaine+Fond+Croze,3.7,100,8.49,2017,red,assente
Shiraz,Australia,South+Eastern+Australia,Barramundi,3.2,100,6.5,2018,red,Shiraz
Proprietor%27s+Blend,South+Africa,Stellenbosch,Ernie+Els,4.2,100,29.09,2016,red,assente
La+Bienquerida,Spain,Bierzo,Losada,4.3,100,41.58,2016,red,assente
Cabernet+Sauvignon,United+States,California,Hacienda,3.8,100,7.95,2015,red,Cabernet+Sauvignon
Fulgeo+Negroamaro+Salento,Italy,Salento,San+Donaci,4.0,100,12.9,2016,red,Negroamaro
Contraste+Tinto,Portugal,Douro,Conceito,3.4,100,9.9,2015,red,assente
Steiner,Hungary,Sopron,Weninger,3.7,100,24.5,2013,red,assente
Old+Vines+Primitivo,Italy,Puglia,Azienda+Agricola+Morella,4.2,100,38.7,2015,red,Primitivo
Virtus+Tannat,Brazil,Serra+Ga%C3%BAcha,Monte+Paschoal,2.9,100,6.77,2013,red,Tannat
Kallista,South+Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,red,assente
Badia+a+Passignano+Gran+Selezione+Chianti+Classico,Italy,Chianti+Classico,Antinori,4.2,1000,39.9,2016,red,assente
Saint-%C3%89milion+Grand+Cru+%28Premier+Grand+Cru+Class%C3%A9%29,France,Saint-%C3%89milion+Grand+Cru,Ch%C3%A2teau+Figeac,4.4,1000,174.49,2012,red,assente
Carlo+V+Il+Rosso+dell%27Imperatore,Italy,Veneto,Colli+Vicentini,3.7,1000,15.9,2013,red,assente
Pinot+Noir,United+States,Monterey,District+7,3.6,1001,15.98,2016,red,Pinot+Noir
Marquis+de+Calon+Saint-Est%C3%A8phe,France,Saint-Est%C3%A8phe,Ch%C3%A2teau+Calon-S%C3%A9gur,3.9,1001,43.28,2015,red,assente
